Category,Browser,Global Super Group description,Global Product Group description,Global Module Description,Exception Type,Global Category,External Code,Work Item Scope,Seq,Standard Code,Code Type,External Code Group,Processing Group Code,Processing Group Description,Processing Group Set Description,Country,Source of Exception,Best Received External Description,Translated Best Received External Description,Best Existing External Description,Translated Best Existing External Description,Department Code,Department Description,Supplier Code,Supplier Description,Number of Stores Selling,Impact,Price,Retailer SKU,etailer Item Code,Store Receipt Description,Predicted Barcode,URL,Received Date,Due Date,Current Assignment Description,Country Current Assignment Description,External Item/Predicted PG/CI,External Item/Predicted Product Class,Latest Image Received Date,Sent for RTC Prediction,Priority,Reserved By,Allocated To,Defer,Has Image,Project,External Item Global Category,External Item Global Module,Local Id,Allocated Date
Business As Usual,Cross Coding,,,,New,,'021554900000,LOCAL,1,'00021554900000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,FAMILY PACK BONESLESS CHUCK ST,,,,0220,SALVAGE,,WGT,1,12.56,6.4742,,,,,,24-NOV-2022 19:49:16,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,ZZ: CUTOVER TEMPORARY STANDARD/CONSOLIDATED ITEMS,CUTOVER TEMP STANDARD/CONSOLIDATED,US CUTOVER STANDARD,Changed,,'021501200000,LOCAL,3,'00021501200000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,SEASONED WHOLE FRYERS,,SEASONED WHOLE FRYERS,,0240,SALVAGE,,WGT,1,18.6,2.9904,,,,,,24-NOV-2022 19:49:27,,30490469 : N BRND LSTD ENTR SSND CHCKN   N PCKG 1 PND ,30490469 : N BRND LSTD ENTR SSND CHCKN   N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021588500000,LOCAL,1,'00021588500000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,MORTY PRIDE SMOKED TURKEY NECK,,,,0250,SALVAGE,,WGT,1,5.74,3.2989,,,,,,24-NOV-2022 19:50:47,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021736900000,LOCAL,1,'00021736900000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,USDA GRADE A FRESH TOM TURKEYS,,,,0250,SALVAGE,,WGT,24,1186.94,1.8297,,,,,,24-NOV-2022 19:51:03,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021736700000,LOCAL,1,'00021736700000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,FRESH TURKEY BREASTS,,,,0250,SALVAGE,,WGT,22,660.41,4.1769,,,,,,24-NOV-2022 19:49:51,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021612600000,LOCAL,1,'00021612600000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,BASTED TURKEY 14-16 LB,,,,0250,SALVAGE,,WGT,1,24.4,2.9684,,,,,,24-NOV-2022 19:52:28,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021576000000,LOCAL,1,'00021576000000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,PORK SAUSAGE PATTIES,,,,0230,SALVAGE,,WGT,1,12.22,5.29,,,,,,24-NOV-2022 19:53:09,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'025992100000,LOCAL,1,'00025992100000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,BOXCAR ICED LATTE SEASONAL ALM,,,,0190,SALVAGE,,WGT,1,3.65,3.65,,,,,,24-NOV-2022 19:52:13,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021549100000,LOCAL,1,'00021549100000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,THIN SLICED RIB STEAK BONE-IN,,,,0220,SALVAGE,,WGT,1,22.34,13.2976,,,,,,24-NOV-2022 19:53:19,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'024478200000,LOCAL,1,'00024478200000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,YELLOW SQUASH,,,,0320,SALVAGE,,WGT,1,3.37,1.8933,,,,,,24-NOV-2022 19:52:34,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,BEVERAGES - NON ALCOHOLIC,TEA & INFUSIONS - VARIABLE WEIGHT,TEA/INFUSIONS - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'025998100000,LOCAL,2,'00025998100000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,CHAI TEA LATTE - LARGE,,CHAI TEA LATTE - LARGE,,0190,SALVAGE,,WGT,1,2.15,2.15,,,,,,24-NOV-2022 19:50:48,,522714521 : N BRND LSTD LQD T N PCKG  CH LTT    1 CNT ,522714521 : N BRND LSTD LQD T N PCKG  CH LTT    1 CNT ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021548100000,LOCAL,1,'00021548100000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,BEST DRESSED THIGHS,,,,0240,SALVAGE,,WGT,1,3.51,2.1938,,,,,,24-NOV-2022 19:50:05,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021540100000,LOCAL,1,'00021540100000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,WHOLE BONE IN BEEF RIBEYE,,,,0290,SALVAGE,,WGT,1,19.64,13.1812,,,,,,24-NOV-2022 19:52:42,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'025620900000,LOCAL,1,'00025620900000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,BACON RANCH PASTA SALAD,,,,0400,SALVAGE,,WGT,1,8.47,7.9906,,,,,,24-NOV-2022 19:51:03,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'025167500000,LOCAL,1,'00025167500000,LAC,LAC,LFO,LFO LOWES FOOD eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,FAMILY SIZE BANANNA PUDDING,,,,0720,SALVAGE,,WGT,1,5.19,3.9923,,,,,,24-NOV-2022 19:49:26,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000005565,LOCAL,1,'00000000005565,LAC,LAC,VBQ,VBQ (ELEGANT WINE & LIQUORS),ALL_US,UNITED STATES OF AMERICA,SIRVAL,WHITE CHOCOLATE CHERRY HOLIDAY BASKET,,,,,EACH,,CNT,1,99.99,99.99,,,,000000005565|010000005565|030000005565|060000005565|070000005565|080000005565|090000005565|100000005565|110000005565|120000005565,,24-NOV-2022 16:49:19,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000005560,LOCAL,1,'00000000005560,LAC,LAC,VBQ,VBQ (ELEGANT WINE & LIQUORS),ALL_US,UNITED STATES OF AMERICA,SIRVAL,MOLLY'S PUMPKIN IRISH CREAM,,,,,750ML,,CNT,1,19.99,19.99,,,,000000005560|010000005560|030000005560|060000005560|070000005560|080000005560|090000005560|100000005560|110000005560|120000005560,,24-NOV-2022 16:49:21,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000005569,LOCAL,1,'00000000005569,LAC,LAC,VBQ,VBQ (ELEGANT WINE & LIQUORS),ALL_US,UNITED STATES OF AMERICA,SIRVAL,PUMPKIN LOVE HOLIDAY BASKET,,,,,EACH,,CNT,1,64.99,64.99,,,,000000005569|010000005569|030000005569|060000005569|070000005569|080000005569|090000005569|100000005569|110000005569|120000005569,,24-NOV-2022 16:49:20,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'026345400000,LOCAL,1,'00026345400000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,SAND ITAL FOC,,,,,1EA,,WGT,1,9,9,,,,,,25-NOV-2022 02:05:21,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'074183904017,LOCAL,1,'00074183904017,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,GRANNY SMITH APPLES,,,,,1LB,,WGT,5,26.4,2.4906,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'025152000000,LOCAL,3,'00025152000000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,LAMB LEG SIRLOIN 1/2 SEM BNLS,,LAMB LEG SIRLOIN 1/2 SEM BNLS,,,1LB,,WGT,1,14.07,15.9886,,,,,,25-NOV-2022 02:05:23,,29936715 : N BRND LSTD FRSH AND FRZN MT   HLF  LMB SRLN LG N PCKG 1 PND ,29936715 : N BRND LSTD FRSH AND FRZN MT   HLF  LMB SRLN LG N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,FRUIT/NUTS - FRESH VARIABLE WEIGHT,FRUIT FRESH - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'060504904053,LOCAL,3,'00060504904053,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,FANCY LEMONS,,FANCY LEMONS,,,1LB,,CNT,1,2.49,2.49,,,,,,25-NOV-2022 02:05:24,,559356275 : SNKST SNGL FRT LMN   N PCKG 1 PND ,559356275 : SNKST SNGL FRT LMN   N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'026260400000,LOCAL,1,'00026260400000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,BUBS PEPPERONI PIZZA PIE,,,,,8OZ,,WGT,1,7.99,7.99,,,,,,25-NOV-2022 02:05:20,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'029490400000,LOCAL,1,'00029490400000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,ORGANIC SAGE,,,,,1EA,,WGT,1,2.49,2.49,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,FRUIT/NUTS - FRESH VARIABLE WEIGHT,FRUIT FRESH - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000094013,LOCAL,2,'00000000094013,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,ORGANIC NAVEL ORANGES,,ORGANIC NAVEL ORANGES,,,1LB,,WGT,1,5.47,2.9891,,,,,,25-NOV-2022 02:05:22,,29432641 : MLTPL VL SNGL FRT NVL ORNG   N PCKG 1 PND ,29432641 : MLTPL VL SNGL FRT NVL ORNG   N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'025224200000,LOCAL,2,'00025224200000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,JENNIE-O FR HEN TRK 10-14 LB,,JENNIE-O FR HEN TRK 10-14 LB,,,1LB,,WGT,2,89.97,3.6903,,,,,,25-NOV-2022 02:05:24,,30143749 : JNN-O TRKY STR FRSH AND FRZN MT  BN IN WHL  TRKY  N PCKG 1 PND ,30143749 : JNN-O TRKY STR FRSH AND FRZN MT  BN IN WHL  TRKY  N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - FROZEN,MEAT/POULTRY/GAME - FROZEN VARIABLE WEIGHT,MEAT - PREPARED - FROZEN VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'025234600000,LOCAL,3,'00025234600000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,L&B APPL CIDR BRND TKY BRST FZ,,L&B APPL CIDR BRND TKY BRST FZ,,,1LB,,WGT,1,152.44,11.9843,,,,,,25-NOV-2022 02:05:23,,30674434 : LNDS & BYRLY'S  SSND RW MT APPL CDR BNLSS TRKY BRST UNCKD  N PCKG 1 PND ,30674434 : LNDS & BYRLY'S  SSND RW MT APPL CDR BNLSS TRKY BRST UNCKD  N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,BISCUITS & CONFECTIONERY & SNACKS,SWEET BISCUITS ASSORTED - AMBIENT,BISCUITS - SWEET - AMBIENT VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'028465900000,LOCAL,3,'00028465900000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,FRENCH MACARON,,FRENCH MACARON,,,1CT,,WGT,2,15,3,,,,,,25-NOV-2022 02:05:24,,29753079 : N BRND LSTD CK MCRN      N PCKG 1 CNT ,29753079 : N BRND LSTD CK MCRN      N PCKG 1 CNT ,,,,FALSE,1,,,,N,,,,,
Business As Usual,Cross Coding,ZZ: CUTOVER TEMPORARY STANDARD/CONSOLIDATED ITEMS,CUTOVER TEMP STANDARD/CONSOLIDATED,US CUTOVER STANDARD,Changed,,'026916900000,LOCAL,2,'00026916900000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,DRESSING SAGE,,DRESSING SAGE,,,1LB,,WGT,1,21.46,6.9902,,,,,,25-NOV-2022 02:05:24,,30171465 : N BRND LSTD ENTR SG DRSSNG   N PCKG 1 PND ,30171465 : N BRND LSTD ENTR SG DRSSNG   N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000004633,LOCAL,1,'00000000004633,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,LIVING FRESH HYDRO LETTUCE,,,,,1EA,,CNT,1,4.29,4.29,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'007224013429,LOCAL,1,'00007224013429,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,FANCY LEMONS,,,,,1LB,,WGT,11,26.05,2.4904,,,,,,25-NOV-2022 02:05:21,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000004266,LOCAL,1,'00000000004266,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,CALIMYRNA FIGS,,,,,1PT,,CNT,1,6.98,3.49,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,FRUIT/NUTS - FRESH VARIABLE WEIGHT,FRUIT FRESH - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'024441000000,LOCAL,4,'00024441000000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,RED STARKRIMSON PEARS,,RED STARKRIMSON PEARS,,,1LB,,WGT,4,21.21,3.4885,,,,,,25-NOV-2022 02:05:23,,29339637 : MLTPL VL SNGL FRT RD BRTLTT PR   N PCKG 1 PND ,29339637 : MLTPL VL SNGL FRT RD BRTLTT PR   N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'026452500000,LOCAL,1,'00026452500000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,RUSH CREEK RESERVE PETITE,,,,,9OZ,,WGT,1,35.99,35.99,,,,,,25-NOV-2022 02:05:23,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'025220000000,LOCAL,1,'00025220000000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,HONEYSUCKLE SPLIT TURKEY BRST,,,,,1LB,,WGT,6,170.01,6.9905,,,,,,25-NOV-2022 02:05:23,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'081034302062,LOCAL,1,'00081034302062,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,FANCY LEMONS,,,,,1LB,,WGT,4,9.87,2.4924,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - AMBIENT,HERBS/SPICES/SALT/RECIPE SEASONING - AMBIENT VARIABLE WEIGHT,HERBS/SPICES/SALT/RECIPE SEASONING - AMBIENT - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000004715,LOCAL,3,'00000000004715,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,RED FRESNO PEPPERS,,RED FRESNO PEPPERS,,,1LB,,WGT,3,14.3,7.9888,,,,,,25-NOV-2022 02:05:22,,511150642 : N BRND LSTD SSNNG CHL PPPR   N PCKG 1 PND ,511150642 : N BRND LSTD SSNNG CHL PPPR   N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,CHEESE - FRESH VARIABLE WEIGHT,CHEESE BLOCKS REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'026449100000,LOCAL,3,'00026449100000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,*EICHTEN'S SUNDR TOMATO GOUDA,,*EICHTEN'S SUNDR TOMATO GOUDA,,,1LB,,WGT,1,11.21,21.9804,,,,,,25-NOV-2022 02:05:22,,30160463 : ECHTN'S HDDN ACRS CHNK CHS  GD SNDRD TMT  CHNK   N PCKG 1 PND ,30160463 : ECHTN'S HDDN ACRS CHNK CHS  GD SNDRD TMT  CHNK   N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,SALADS - FRESH VARIABLE WEIGHT,SALADS PREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'026748600000,LOCAL,2,'00026748600000,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,SALAD SAMPLER,,SALAD SAMPLER,,,1LB,,WGT,1,11.99,9.9917,,,,,,25-NOV-2022 02:05:24,,30071070 : N BRND LSTD VGTBL SLD   SMPLR N PCKG 1 PND ,30071070 : N BRND LSTD VGTBL SLD   SMPLR N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000004096,LOCAL,1,'00000000004096,LAC,LAC,LBO,LUND'S & BYERLYS eCom,eCommerce,UNITED STATES OF AMERICA,SIRVAL,GINGER GOLD APPLES,,,,,1LB,,WGT,1,1.58,2.9811,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000005791,LOCAL,1,'00000000005791,LAC,LAC,EDQ,EDQ RELIANCE WINE AND LIQUOR,ALL_US,UNITED STATES OF AMERICA,SIRVAL,[DEL] L. BENRIACH 12YR SMOKY SCOTCH WHSKY XX,,,,,750ML,,CNT,1,72.99,72.99,,,,000000005791|010000005791|030000005791|060000005791|070000005791|080000005791|090000005791|100000005791|110000005791|120000005791,,24-NOV-2022 16:49:18,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000001648,LOCAL,1,'00000000001648,LAC,LAC,EDQ,EDQ RELIANCE WINE AND LIQUOR,ALL_US,UNITED STATES OF AMERICA,SIRVAL,[DEL] L. HIRAM WALKER BLACKBERRY BRA XX,,,,,200ML,,CNT,1,3.99,3.99,,,,000000001648|010000001648|030000001648|060000001648|070000001648|080000001648|090000001648|100000001648|110000001648|120000001648,,24-NOV-2022 16:49:18,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000006457,LOCAL,1,'00000000006457,LAC,LAC,EDQ,EDQ RELIANCE WINE AND LIQUOR,ALL_US,UNITED STATES OF AMERICA,SIRVAL,W. FREI BROTHERS CHARDONNAY ??,,,,,750ML,,CNT,1,204.96,17.08,,,,000000006457|010000006457|030000006457|060000006457|070000006457|080000006457|090000006457|100000006457|110000006457|120000006457,,24-NOV-2022 16:49:21,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000004474,LOCAL,1,'00000000004474,LAC,LAC,EDQ,EDQ RELIANCE WINE AND LIQUOR,ALL_US,UNITED STATES OF AMERICA,SIRVAL,[DEL] L. ST GEORGE BALLER SINGLE MALT,,,,,750ML,,CNT,1,79.99,79.99,,,,000000004474|010000004474|030000004474|060000004474|070000004474|080000004474|090000004474|100000004474|110000004474|120000004474,,24-NOV-2022 16:49:19,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000010750,LOCAL,1,'00000000010750,LAC,LAC,EDQ,EDQ RELIANCE WINE AND LIQUOR,ALL_US,UNITED STATES OF AMERICA,SIRVAL,[DEL] W. TRIVENTO  AMADO SUR MALBEC XX,,,,,750ML,,CNT,1,13.99,13.99,,,,000000010750|010000010750|030000010750|060000010750|070000010750|080000010750|090000010750|100000010750|110000010750|120000010750,,24-NOV-2022 16:49:17,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000006398,LOCAL,1,'00000000006398,LAC,LAC,EDQ,EDQ RELIANCE WINE AND LIQUOR,ALL_US,UNITED STATES OF AMERICA,SIRVAL,[DEL] L. PLANTATION 3 STAR WHITE RUM XX,,,,,750ML,,CNT,1,16.99,16.99,,,,000000006398|010000006398|030000006398|060000006398|070000006398|080000006398|090000006398|100000006398|110000006398|120000006398,,24-NOV-2022 16:49:18,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000011577,LOCAL,1,'00000000011577,LAC,LAC,EDQ,EDQ RELIANCE WINE AND LIQUOR,ALL_US,UNITED STATES OF AMERICA,SIRVAL,[DEL] W. M. CHAPU  BILA HAUT COTES DU BLANC XX,,,,,750ML,,CNT,1,11.99,11.99,,,,000000011577|010000011577|030000011577|060000011577|070000011577|080000011577|090000011577|100000011577|110000011577|120000011577,,24-NOV-2022 16:49:19,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000006458,LOCAL,1,'00000000006458,LAC,LAC,EDQ,EDQ RELIANCE WINE AND LIQUOR,ALL_US,UNITED STATES OF AMERICA,SIRVAL,[DEL] L. PATRON EL ALTO XX,,,,,750ML,,CNT,1,159.99,159.99,,,,000000006458|010000006458|030000006458|060000006458|070000006458|080000006458|090000006458|100000006458|110000006458|120000006458,,24-NOV-2022 16:49:19,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - AMBIENT,CAKES/GATEAUX - AMBIENT VARIABLE WEIGHT,CAKES/GATEAUX - AMBIENT - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'026097600000,LOCAL,3,'00026097600000,LAC,LAC,HNP,HNP SHOP N SAVE,ALL_US,UNITED STATES OF AMERICA,SIRVAL,CHOCOLATE CAKE ROL,,CHOCOLATE CAKE ROL,,,SALVAGE,,WGT,1,5.99,5.99,,,,,,24-NOV-2022 16:49:18,,520368580 : N BRND LSTD SNGL LYR CK BLCK FRST RLL     N PCKG 1 CNT ,520368580 : N BRND LSTD SNGL LYR CK BLCK FRST RLL     N PCKG 1 CNT ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'003338308119,LOCAL,1,'00003338308119,LAC,LAC,HNP,HNP SHOP N SAVE,ALL_US,UNITED STATES OF AMERICA,SIRVAL,APPLE-GOLDEN 5#,,,,,,,CNT,1,114.77,4.99,,,,,,24-NOV-2022 16:49:20,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000022448,LOCAL,1,'00000000022448,LAC,LAC,ALH,ALH AVON LIQUOR STORE,ALL_US,UNITED STATES OF AMERICA,SIRVAL,TELLURIDE DUAL MOUNTAIN MULE COLLAB,,,,,12OZ,,CNT,1,13.99,2.3317,,,,000000022448|010000022448|030000022448|060000022448|070000022448|080000022448|090000022448|100000022448|110000022448|120000022448,,24-NOV-2022 16:49:17,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000009460,LOCAL,1,'00000000009460,LAC,LAC,ALH,ALH AVON LIQUOR STORE,ALL_US,UNITED STATES OF AMERICA,SIRVAL,[DEL] PAUL HOBBS CROSSBARN PINOT NOIR,,,,,750ML,,CNT,1,33.99,33.99,,,,000000009460|010000009460|030000009460|060000009460|070000009460|080000009460|090000009460|100000009460|110000009460|120000009460,,24-NOV-2022 16:49:17,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000022444,LOCAL,1,'00000000022444,LAC,LAC,ALH,ALH AVON LIQUOR STORE,ALL_US,UNITED STATES OF AMERICA,SIRVAL,WILLIAMS SELYEM PINOT NOIR BUCHER VNYD,,,,,750ML,,CNT,1,169.99,169.99,,,,000000022444|010000022444|030000022444|060000022444|070000022444|080000022444|090000022444|100000022444|110000022444|120000022444,,24-NOV-2022 16:49:20,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000022465,LOCAL,1,'00000000022465,LAC,LAC,ALH,ALH AVON LIQUOR STORE,ALL_US,UNITED STATES OF AMERICA,SIRVAL,OUTER RANGE PLUCK PLUCK RICE LAGER 4PK,,,,,16OZ,,CNT,1,13.99,3.4975,,,,000000022465|010000022465|030000022465|060000022465|070000022465|080000022465|090000022465|100000022465|110000022465|120000022465,,24-NOV-2022 16:49:18,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000020474,LOCAL,1,'00000000020474,LAC,LAC,ALH,ALH AVON LIQUOR STORE,ALL_US,UNITED STATES OF AMERICA,SIRVAL,[DEL] CHIMAY DOREE 4PK,,,,,11OZ,,CNT,1,20.99,5.2475,,,,000000020474|010000020474|030000020474|060000020474|070000020474|080000020474|090000020474|100000020474|110000020474|120000020474,,24-NOV-2022 16:49:20,,,,,,,FALSE,0,,,,N,,,,,
